1,PropertyID,Street,City   ,ZipCode,Legal,SEV,Status,Closing date
3,1005328,74 E NEVADA,DETROIT,48203,"S E NEVADA 506 NORTH WOODWARD L26 P70 PLATS, W C R 1/163 30 X 103","$5,700 ",Active, 10-23-018 9:15:00 AM
2,1004960,18 W LONGWOOD,DETROIT,48203,"N LONGWOOD PL W 277 BALDWIN PARK L29 P70 PLATS, W C R 1/165 40 X 122",17000,Removed from Auction, 10-23-018 9:15:00 AM
4,1005598,451 W SAVANNAH,DETROIT,48203,"S W SAVANNAH W 5 FT 102 103 E 5 FT 104 PARKSIDE L27 P63 PLATS, W C R 1/171 40 X 103.07A","$15,000 ",Active, 10-23-018 9:15:00 AM
5,1005600,467 W SAVANNAH,DETROIT,48203,"S W SAVANNAH W 15 FT 105 E 25 FT 106 PARKSIDE L27 P63 PLATS, W C R 1/171 40 X 102.23A","$14,200 ",Active, 10-23-018 9:15:00 AM
6,1006021,86 W GREENDALE,DETROIT,48203,"N W GREENDALE 182 GRIX HOME PARK L29 P52 PLATS, W C R 1/170 50 X 102.65","$6,400 ",Active, 10-23-018 9:15:00 AM
7,1006476,39 W ROBINWOOD,DETROIT,48203,"S ROBINWOOD W 87 JAMES E OFLAHERTYS LOG CABIN L27 P13 PLATS, W C R 1/174 40 X 111",$300 ,Active, 10-23-018 9:15:00 AM
8,1006499,223 W ROBINWOOD,DETROIT,48203,"S ROBINWOOD W 110 JAMES E OFLAHERTYS LOG CABIN L27 P13 PLATS, W C R 1/174 40 X 111",$300 ,Active, 10-23-018 9:15:00 AM
9,1006522,541 W ROBINWOOD,DETROIT,48203,"S ROBINWOOD W 327 WOODWARD PARK L28 P37 PLATS, W C R 1/175 35 X 117.94A",$300 ,Active, 10-23-018 9:15:00 AM
10,1006557,590 W ROBINWOOD,DETROIT,48203,"N W ROBINWOOD 279 WOODWARD PARK L28 P37 PLATS, W C R 1/175 35 X 117",$300 ,Active, 10-23-018 9:15:00 AM
11,1006569,506 W ROBINWOOD,DETROIT,48203,"N W ROBINWOOD 291 WOODWARD PARK L28 P37 PLATS, W C R 1/175 35 X 117",$300 ,Active, 10-23-018 9:15:00 AM
12,1006592,184 W ROBINWOOD,DETROIT,48203,"N W ROBINWOOD 123 JAMES E OFLAHERTYS LOG CABIN L27 P13 PLATS, W C R 1/174 40 X 111",$300 ,Active, 10-23-018 9:15:00 AM
13,1006633,121 W HOLLYWOOD,DETROIT,48203,"S HOLLYWOOD W W 10 FT 154 E 20 FT 155 JAMES E OFLAHERTYS LOG CABIN L27 P13 PLATS, W C R 1/174 30 X 111",$200 ,Active, 10-23-018 9:15:00 AM
14,1006645,207 W HOLLYWOOD,DETROIT,48203,"S HOLLYWOOD W W 42 FT OF E 65.70 FT OF SEC 11, T 1 S, R 11 E LYG S HOLLYWOOD AVE & ADJ W 42 FT OF E 80 FT 164 JAMES E OFLAHERTYS LOG CABIN L27 P13 PLATS, W C R 1/174 42 X 111","$8,300 ",Active, 10-23-018 9:15:00 AM
15,1006653,419 W HOLLYWOOD,DETROIT,48203,"S HOLLYWOOD W 216 WOODWARD PARK L28 P37 PLATS, W C R 1/175 35 X 117",$300 ,Active, 10-23-018 9:15:00 AM
16,1006698,690 W HOLLYWOOD,DETROIT,48203,"N HOLLYWOOD W 170 WOODWARD PARK L28 P37 PLATS, W C R 1/175 35 X 117","$9,200 ",Active, 10-23-018 9:15:00 AM
17,1006706,634 W HOLLYWOOD,DETROIT,48203,"N HOLLYWOOD W 178 WOODWARD PARK L28 P37 PLATS, W C R 1/175 35 X 117","$9,700 ",Active, 10-23-018 9:15:00 AM
18,1006835,707 W BRENTWOOD,DETROIT,48203,"S BRENTWOOD W 155 WOODWARD PARK L28 P37 PLATS, W C R 1/175 35 X 117",$300 ,Active, 10-23-018 9:15:00 AM
19,1006885,424 W BRENTWOOD,DETROIT,48203,"N BRENTWOOD W 106 WOODWARD PARK L28 P37 PLATS, W C R 1/175 35 X 117",$300 ,Active, 10-23-018 9:15:00 AM
20,1006893,212 W BRENTWOOD,DETROIT,48203,"N BRENTWOOD 250 JAMES E OFLAHERTYS LOG CABIN # 1 L67 P16 PLATS, W C R 1/214 45 X 111",$400 ,Active, 10-23-018 9:15:00 AM
21,1006903,110 W BRENTWOOD,DETROIT,48203,"N BRENTWOOD 241 EXC W 92 FT MEAS ON N LINE OF SD LOT JAMES E OFLAHERTYS LOG CABIN NO 1 L67 P16 PLATS, W C R 1/214 198 EXC W 69.99 MEAS ON S LINE OF SD LOT JAMES E OFLAHERTYS LOG CABIN L27 P13 PLATS, W C R 1/174 46.91 IRREG","$8,000 ",Active, 10-23-018 9:15:00 AM
22,1007305,713 ANNIN,DETROIT,48203,"S ANNIN 122 STATE FAIR L28 P26 PLATS, W C R 1/182 30 X 106.54A",$200 ,Active, 10-23-018 9:15:00 AM
23,1007453,757 W LANTZ,DETROIT,48203,"S LANTZ W 270 STATE FAIR L28 P26 PLATS, W C R 1/182 30 X 102.50","$5,500 ",Active, 10-23-018 9:15:00 AM
24,16042583,14839 BIRWOOD,DETROIT,48238,"W BIRWOOD 243 AND E 8 FT OF VAC ALLEY ADJ GRIFFINS WYOMING SUB L45 P99 PLATS, W C R 16/395 35 X 122.67A","$6,500 ",Active, 10-23-018 9:15:00 AM
25,16042671,13515 BIRWOOD,DETROIT,48238,"W BIRWOOD 539 GLENDALE COURTS SUB L35 P24 PLATS, W C R 16/258 43 X 110.03A","$4,900 ",Active, 10-23-018 9:15:00 AM
26,16042762,12730 MENDOTA,DETROIT,48238,"E MENDOTA 17 GLENDALE GARDENS SUB L33 P24 PLATS, W C R 16/242 40 X 103.32A","$5,800 ",Active, 10-23-018 9:15:00 AM
27,16042886,15368 MENDOTA,DETROIT,48238,"3 expiring 12/30/2014. Property exempt from Ad Valorem taxes and assessed pursuant to PA 261 of 2003 expiring 12/30/2014. E MENDOTA 33 AND W 8 FT VAC ALLEY ADJ VERNA PARK SUB L42 P69 PLATS, W C R 16/388 35 X 133.91A",$600 ,Active, 10-23-018 9:15:00 AM
28,16043430,15779 MENDOTA,DETROIT,48238,"W MENDOTA 78 VERNA PARK SUB L42 P69 PLATS, W C R 16/388 35 X 108.50","$9,100 ",Active, 10-23-018 9:15:00 AM
29,16043617,12526 PINEHURST,DETROIT,48238,"E PINEHURST 50 MOORE & VEALE SUB L30 P20 PLATS, W C R 16/230 24.13 IRREG",$400 ,Active, 10-23-018 9:15:00 AM
30,16043760,15344 PINEHURST,DETROIT,48238,"E PINEHURST 125 & W 8 FT VAC ALLEY ADJ VERNA PARK SUB L42 P69 PLATS, W C R 16/388 35 X 116.5","$8,400 ",Active, 10-23-018 9:15:00 AM
31,16043969,18940 PINEHURST,DETROIT,48221,"E PINEHURST 84 PALMYRA WOODS SUB L45 P85 PLATS, W C R 16/389 40 X 107.50",$500 ,Active, 10-23-018 9:15:00 AM
32,16044606,15032 MONTE VISTA,DETROIT,48238,"E MONTE VISTA 162 & W 9 FT VAC ALLEY ADJ ARTHUR MEYER ESTATE SUB L49 P91 PLATS, W C R 16/385 37 X 114","$12,300 ",Active, 10-23-018 9:15:00 AM
33,16045347,15460 MANOR,DETROIT,48238,"E MANOR 167 COLLEGE CREST SUB L49 P29 PLATS, W C R 16/384 35 X 101.80","$15,700 ",Active, 10-23-018 9:15:00 AM
34,16045554,20413 MANOR,DETROIT,48221,"W MANOR 3967 AND E 10 FT OF VAC ALLEY ADJ BLACKSTONE PARK SUB NO 6 L52 P92 PLATS, W C R 16/393 40 X 116.49","$6,700 ",Active, 10-23-018 9:15:00 AM
35,16045893,12778 MEYERS,DETROIT,48227,"E MEYERS 555 GLENDALE GARDENS SUB L33 P24 PLATS, W C R 16/242 40 X 101","$8,700 ",Active, 10-23-018 9:15:00 AM
36,16045932,13614 MEYERS,DETROIT,48227,"E MEYERS 594 GLENDALE GARDENS SUB L33 P24 PLATS, W C R 16/242 35 X 101","$7,300 ",Active, 10-23-018 9:15:00 AM
